strain	accession	date	country	state
BEP-10	SRP058536	2013-XX-XX	USA	USA/WI
BEP-11	SRP058536	2013-XX-XX	USA	USA/WI
BEP-6	SRP058536	2013-XX-XX	USA	USA/WI
BRF-226	SRP058536	2013-XX-XX	USA	USA/WI
BRF-231	SRP058536	2013-XX-XX	USA	USA/WI
BRF-236	SRP058536	2013-XX-XX	USA	USA/WI
Bbcap10	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap12	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap13	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap14	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap15	SRP058536	2007-XX-XX	USA	USA/CT
Bbcap16	SRP058536	2007-XX-XX	USA	USA/CT
Bbcap17	SRP058536	2007-XX-XX	USA	USA/VT
Bbcap19	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap1	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap20	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap21	SRP058536	2007-XX-XX	USA	USA/MA
Bbcap22	SRP058536	2007-XX-XX	USA	USA/MA
Bbcap23	SRP058536	2007-XX-XX	USA	USA/MA
Bbcap24	SRP058536	2007-XX-XX	USA	USA/MA
Bbcap25	SRP058536	2007-XX-XX	USA	USA/MA
Bbcap26	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap27	SRP058536	2007-XX-XX	USA	USA/CT
Bbcap28	SRP058536	2007-XX-XX	USA	USA/CT
Bbcap29	SRP058536	2007-XX-XX	USA	USA/CT
Bbcap2	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap30	SRP058536	2007-XX-XX	USA	USA/CT
Bbcap31	SRP058536	2007-XX-XX	USA	USA/CT
Bbcap32	SRP058536	2007-XX-XX	USA	USA/CT
Bbcap3	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap4	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap5	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap6	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap7	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap8	SRP058536	2007-XX-XX	USA	USA/NY
Bbcap9	SRP058536	2007-XX-XX	USA	USA/NY
CT-1807	SRP058536	2013-XX-XX	USA	USA/CT
CT-1827	SRP058536	2013-XX-XX	USA	USA/CT
CT-2408	SRP058536	2013-XX-XX	USA	USA/CT
CT-2422	SRP058536	2013-XX-XX	USA	USA/CT
CT-2493	SRP058536	2012-XX-XX	USA	USA/CT
FB-141	SRP058536	2013-XX-XX	USA	USA/WI
FB-143	SRP058536	2013-XX-XX	USA	USA/WI
FB-153	SRP058536	2013-XX-XX	USA	USA/WI
FB-158	SRP058536	2013-XX-XX	USA	USA/WI
HIS-2939	SRP058536	1998-XX-XX	USA	USA/NY
HIS-2944	SRP058536	1998-XX-XX	USA	USA/NY
HIS-2946	SRP058536	1998-XX-XX	USA	USA/NY
HIS-2951	SRP058536	1998-XX-XX	USA	USA/NY
HIS-2955	SRP058536	1998-XX-XX	USA	USA/NY
HIS-2957	SRP058536	1998-XX-XX	USA	USA/NY
HIS-2960	SRP058536	1998-XX-XX	USA	USA/NY
HIS-3040	SRP058536	2001-XX-XX	USA	USA/NJ
HIS-3047	SRP058536	2001-XX-XX	USA	USA/NJ
HIS-3057	SRP058536	1984-XX-XX	USA	USA/NY
HIS-3059	SRP058536	1984-XX-XX	USA	USA/NY
HIS-3066	SRP058536	1984-XX-XX	USA	USA/NY
HIS-3070	SRP058536	1984-XX-XX	USA	USA/NY
KM-102	SRP058536	2013-XX-XX	USA	USA/WI
KM-115	SRP058536	2013-XX-XX	USA	USA/WI
KM-116	SRP058536	2013-XX-XX	USA	USA/WI
L06-CEM16	SRP058536	2006-XX-XX	CAN	CAN/NovaScotia
L06-CEM22	SRP058536	2006-XX-XX	CAN	CAN/NovaScotia
L06-ER21	SRP058536	2006-XX-XX	CAN	CAN/NovaScotia
LP-79	SRP058536	2012-XX-XX	CAN	CAN/Ontario
M08-56	SRP058536	2008-XX-XX	CAN	CAN/NewBrunswick
M08-94	SRP058536	2008-XX-XX	CAN	CAN/NewBrunswick
MA-1670	SRP058536	2013-XX-XX	USA	USA/MA
MA-1720	SRP058536	2013-XX-XX	USA	USA/MA
MA-1729	SRP058536	2013-XX-XX	USA	USA/MA
MA-1834	SRP058536	2013-XX-XX	USA	USA/MA
MA-1839	SRP058536	2013-XX-XX	USA	USA/MA
MA-1927	SRP058536	2013-XX-XX	USA	USA/MA
MA-1928	SRP058536	2013-XX-XX	USA	USA/MA
MA-2290	SRP058536	2013-XX-XX	USA	USA/MA
MA-2294	SRP058536	2013-XX-XX	USA	USA/MA
MA-2296	SRP058536	2013-XX-XX	USA	USA/MA
MA-2363	SRP058536	2013-XX-XX	USA	USA/MA
MA-2552	SRP058536	2013-XX-XX	USA	USA/MA
MA-2554	SRP058536	2013-XX-XX	USA	USA/MA
MA-2678	SRP058536	2013-XX-XX	USA	USA/MA
MA-2682	SRP058536	2013-XX-XX	USA	USA/MA
MB-44	SRP058536	2013-XX-XX	USA	USA/WI
MB-48	SRP058536	2013-XX-XX	USA	USA/WI
MB-63	SRP058536	2013-XX-XX	USA	USA/WI
MB-74	SRP058536	2013-XX-XX	USA	USA/WI
ME-2735	SRP058536	2013-XX-XX	USA	USA/ME
ME-2737	SRP058536	2013-XX-XX	USA	USA/ME
ME-2739	SRP058536	2013-XX-XX	USA	USA/ME
MI-5195	SRP058536	2005-XX-XX	USA	USA/MI
MI11-837	SRP058536	2013-XX-XX	USA	USA/MI
NH-2426	SRP058536	2013-XX-XX	USA	USA/NH
NH-2431	SRP058536	2013-XX-XX	USA	USA/NH
NH-2440	SRP058536	2013-XX-XX	USA	USA/NH
NJ-2805	SRP058536	2013-XX-XX	USA	USA/NJ
NS12-24	SRP058536	2012-XX-XX	CAN	CAN/NovaScotia
NS12-61	SRP058536	2012-XX-XX	CAN	CAN/NovaScotia
NW13-34	SRP058536	2013-XX-XX	CAN	CAN/Ontario
NW13-35	SRP058536	2013-XX-XX	CAN	CAN/Ontario
NW13-36	SRP058536	2013-XX-XX	CAN	CAN/Ontario
NY-1468	SRP058536	2013-XX-XX	USA	USA/NY
NY-1477	SRP058536	2013-XX-XX	USA	USA/NY
NY-1478	SRP058536	2013-XX-XX	USA	USA/NY
NY-1522	SRP058536	2013-XX-XX	USA	USA/NY
NY-1524	SRP058536	2013-XX-XX	USA	USA/NY
NY-1533	SRP058536	2013-XX-XX	USA	USA/NY
NY-1556	SRP058536	2004-XX-XX	USA	USA/NY
NY-1587	SRP058536	2013-XX-XX	USA	USA/NY
NY-1597	SRP058536	2013-XX-XX	USA	USA/NY
NY-2387	SRP058536	2013-XX-XX	USA	USA/NY
NY-2396	SRP058536	2013-XX-XX	USA	USA/NY
NY-2401	SRP058536	2013-XX-XX	USA	USA/NY
NY-2455	SRP058536	2013-XX-XX	USA	USA/NY
NY-2464	SRP058536	2013-XX-XX	USA	USA/NY
NY-2516	SRP058536	2013-XX-XX	USA	USA/NY
NY-2523	SRP058536	2013-XX-XX	USA	USA/NY
NY-2534	SRP058536	2013-XX-XX	USA	USA/NY
NY-2539	SRP058536	2013-XX-XX	USA	USA/NY
NY-2600	SRP058536	2013-XX-XX	USA	USA/NY
PA-22520	SRP058536	2005-XX-XX	USA	USA/PA
QC12-207	SRP058536	2012-XX-XX	CAN	CAN/Quebec
QC12-249	SRP058536	2012-XX-XX	CAN	CAN/Quebec
QC13-332	SRP058536	2013-XX-XX	CAN	CAN/Quebec
QC13-351	SRP058536	2013-XX-XX	CAN	CAN/Quebec
QC13-6	SRP058536	2013-XX-XX	CAN	CAN/Quebec
RI-2584	SRP058536	2013-XX-XX	USA	USA/RI
RI-2589	SRP058536	2013-XX-XX	USA	USA/RI
RI-2597	SRP058536	2013-XX-XX	USA	USA/RI
RI-2669	SRP058536	2013-XX-XX	USA	USA/RI
